
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
Weight: 23.77 g | Level: VERY_LOW
Weight: 26.26 g | Level: VERY_LOW
Weight: 22.72 g | Level: VERY_LOW
Weight: 23.92 g | Level: VERY_LOW
Weight: 20.04 g | Level: VERY_LOW
Weight: 26.16 g | Level: VERY_LOW
Weight: 28.37 g | Level: VERY_LOW
Weight: 27.74 g | Level: VERY_LOW
Weight: 25.21 g | Level: VERY_LOW
Weight: 24.97 g | Level: VERY_LOW
Weight: 27.40 g | Level: VERY_LOW
Weight: 21.56 g | Level: VERY_LOW
Weight: 31.39 g | Level: VERY_LOW
Weight: 22.23 g | Level: VERY_LOW
Weight: 19.50 g | Level: VERY_LOW
Weight: 25.77 g | Level: VERY_LOW
Weight: 26.46 g | Level: VERY_LOW
Weight: 25.62 g | Level: VERY_LOW
Weight: 23.28 g | Level: VERY_LOW
Weight: 24.87 g | Level: VERY_LOW
Weight: 21.52 g | Level: VERY_LOW
Weight: 25.08 g | Level: VERY_LOW
Weight: 24.76 g | Level: VERY_LOW
Weight: 20.96 g | Level: VERY_LOW
Weight: 25.21 g | Level: VERY_LOW
Weight: 23.73 g | Level: VERY_LOW
Weight: 22.72 g | Level: VERY_LOW
Weight: 24.03 g | Level: VERY_LOW
Weight: 23.86 g | Level: VERY_LOW
Weight: 23.58 g | Level: VERY_LOW
Weight: 19.50 g | Level: VERY_LOW
Weight: 27.49 g | Level: VERY_LOW
Weight: 33.32 g | Level: VERY_LOW
Weight: 33.97 g | Level: VERY_LOW
Weight: 15.51 g | Level: VERY_LOW
Weight: 23.52 g | Level: VERY_LOW
Weight: 24.33 g | Level: VERY_LOW
Weight: 23.71 g | Level: VERY_LOW
Weight: 22.04 g | Level: VERY_LOW
Weight: 22.06 g | Level: VERY_LOW
Weight: 25.75 g | Level: VERY_LOW
Weight: 21.11 g | Level: VERY_LOW
Weight: 20.45 g | Level: VERY_LOW
Weight: 21.16 g | Level: VERY_LOW
Weight: 25.83 g | Level: VERY_LOW
Weight: 27.53 g | Level: VERY_LOW
Weight: 28.86 g | Level: VERY_LOW
Weight: 26.84 g | Level: VERY_LOW
Weight: 20.40 g | Level: VERY_LOW
Weight: 24.18 g | Level: VERY_LOW
Weight: 25.00 g | Level: VERY_LOW
Weight: 21.33 g | Level: VERY_LOW
Weight: 23.77 g | Level: VERY_LOW
Weight: 25.75 g | Level: VERY_LOW
Weight: 15.11 g | Level: VERY_LOW
Weight: 21.89 g | Level: VERY_LOW
Weight: 28.64 g | Level: VERY_LOW
Weight: 23.58 g | Level: VERY_LOW
Weight: 24.97 g | Level: VERY_LOW
Weight: 24.87 g | Level: VERY_LOW
Weight: 13.22 g | Level: VERY_LOW
Weight: 29.74 g | Level: VERY_LOW
Weight: 21.41 g | Level: VERY_LOW
Weight: 25.30 g | Level: VERY_LOW
Weight: 17.36 g | Level: VERY_LOW
Weight: 32.03 g | Level: VERY_LOW
Weight: 20.36 g | Level: VERY_LOW
Weight: 24.59 g | Level: VERY_LOW
Weight: 24.95 g | Level: VERY_LOW
Weight: 23.71 g | Level: VERY_LOW
Weight: 25.45 g | Level: VERY_LOW
Weight: 23.09 g | Level: VERY_LOW
Weight: 23.26 g | Level: VERY_LOW
Weight: 30.19 g | Level: VERY_LOW
Weight: 27.01 g | Level: VERY_LOW
Weight: 22.81 g | Level: VERY_LOW
Weight: 22.81 g | Level: VERY_LOW
Weight: 28.94 g | Level: VERY_LOW
Weight: 22.61 g | Level: VERY_LOW
Weight: 26.86 g | Level: VERY_LOW
Weight: 24.25 g | Level: VERY_LOW
Weight: 34.37 g | Level: VERY_LOW
Weight: 28.73 g | Level: VERY_LOW
Weight: 23.41 g | Level: VERY_LOW
Weight: 23.52 g | Level: VERY_LOW
Weight: 20.92 g | Level: VERY_LOW
Weight: 22.68 g | Level: VERY_LOW
Weight: 23.75 g | Level: VERY_LOW
Weight: 23.09 g | Level: VERY_LOW
Weight: 27.36 g | Level: VERY_LOW
Weight: 21.31 g | Level: VERY_LOW
Weight: 24.03 g | Level: VERY_LOW
Weight: 20.40 g | Level: VERY_LOW
Weight: 20.58 g | Level: VERY_LOW
Weight: 23.97 g | Level: VERY_LOW
Weight: 18.86 g | Level: VERY_LOW
Weight: 26.56 g | Level: VERY_LOW
Weight: 28.06 g | Level: VERY_LOW
Weight: 23.77 g | Level: VERY_LOW
Weight: 19.83 g | Level: VERY_LOW
Weight: 26.26 g | Level: VERY_LOW
Weight: 28.13 g | Level: VERY_LOW
Weight: 19.65 g | Level: VERY_LOW
Weight: 22.66 g | Level: VERY_LOW
Weight: 23.00 g | Level: VERY_LOW
Weight: 23.09 g | Level: VERY_LOW
Weight: 24.85 g | Level: VERY_LOW
Weight: 24.29 g | Level: VERY_LOW
Weight: 21.35 g | Level: VERY_LOW
Weight: 23.79 g | Level: VERY_LOW
Weight: 22.85 g | Level: VERY_LOW
Weight: 26.78 g | Level: VERY_LOW
Weight: 12.85 g | Level: VERY_LOW
Weight: 21.84 g | Level: VERY_LOW
Weight: 22.79 g | Level: VERY_LOW
Weight: 21.65 g | Level: VERY_LOW
Weight: 18.50 g | Level: VERY_LOW
Weight: 28.26 g | Level: VERY_LOW
Weight: 25.02 g | Level: VERY_LOW
Weight: 24.59 g | Level: VERY_LOW
Weight: 21.86 g | Level: VERY_LOW
Weight: 32.59 g | Level: VERY_LOW
Weight: 23.71 g | Level: VERY_LOW
Weight: 21.48 g | Level: VERY_LOW
Weight: 16.97 g | Level: VERY_LOW
Weight: 29.33 g | Level: VERY_LOW
Weight: 28.56 g | Level: VERY_LOW
Weight: 22.14 g | Level: VERY_LOW
Weight: 21.35 g | Level: VERY_LOW
Weight: 24.31 g | Level: VERY_LOW
Weight: 19.55 g | Level: VERY_LOW
Weight: 27.98 g | Level: VERY_LOW
Weight: 31.39 g | Level: VERY_LOW
Weight: 20.23 g | Level: VERY_LOW
Weight: 20.32 g | Level: VERY_LOW
Weight: 23.30 g | Level: VERY_LOW
Weight: 16.69 g | Level: VERY_LOW
Weight: 22.72 g | Level: VERY_LOW
Weight: 23.07 g | Level: VERY_LOW
Weight: 22.49 g | Level: VERY_LOW
Weight: 31.65 g | Level: VERY_LOW
Weight: 23.69 g | Level: VERY_LOW
Weight: 28.62 g | Level: VERY_LOW
Weight: 28.69 g | Level: VERY_LOW
Weight: 30.21 g | Level: VERY_LOW
Weight: 25.00 g | Level: VERY_LOW
Weight: 17.16 g | Level: VERY_LOW
Weight: 23.30 g | Level: VERY_LOW
Weight: 22.19 g | Level: VERY_LOW
Weight: 17.74 g | Level: VERY_LOW
Weight: 24.85 g | Level: VERY_LOW
Weight: 22.79 g | Level: VERY_LOW
Weight: 24.07 g | Level: VERY_LOW
Weight: 31.63 g | Level: VERY_LOW
Weight: 17.06 g | Level: VERY_LOW
Weight: 22.59 g | Level: VERY_LOW
Weight: 21.65 g | Level: VERY_LOW
Weight: 25.79 g | Level: VERY_LOW
Weight: 29.80 g | Level: VERY_LOW
Weight: 21.35 g | Level: VERY_LOW
Weight: 23.62 g | Level: VERY_LOW
Weight: 23.75 g | Level: VERY_LOW
Weight: 27.16 g | Level: VERY_LOW
Weight: 21.67 g | Level: VERY_LOW
Weight: 22.79 g | Level: VERY_LOW
Weight: 31.54 g | Level: VERY_LOW
Weight: 26.20 g | Level: VERY_LOW
Weight: 18.17 g | Level: VERY_LOW
Weight: 21.16 g | Level: VERY_LOW
Weight: 25.79 g | Level: VERY_LOW
Weight: 23.95 g | Level: VERY_LOW
Weight: 30.08 g | Level: VERY_LOW
Weight: 24.57 g | Level: VERY_LOW
Weight: 22.34 g | Level: VERY_LOW
Weight: 25.68 g | Level: VERY_LOW
Weight: 31.67 g | Level: VERY_LOW
Weight: 23.39 g | Level: VERY_LOW
Weight: 18.41 g | Level: VERY_LOW
Weight: 25.08 g | Level: VERY_LOW
Weight: 23.88 g | Level: VERY_LOW
Weight: 24.37 g | Level: VERY_LOW
Weight: 22.81 g | Level: VERY_LOW
Weight: 24.40 g | Level: VERY_LOW
Weight: 29.55 g | Level: VERY_LOW
Weight: 26.78 g | Level: VERY_LOW
Weight: 21.16 g | Level: VERY_LOW
Weight: 18.60 g | Level: VERY_LOW
Weight: 24.01 g | Level: VERY_LOW
Weight: 24.22 g | Level: VERY_LOW
Weight: 23.71 g | Level: VERY_LOW
Weight: 30.53 g | Level: VERY_LOW
Weight: 26.03 g | Level: VERY_LOW
Weight: 26.28 g | Level: VERY_LOW
Weight: 25.98 g | Level: VERY_LOW
Weight: 24.18 g | Level: VERY_LOW
Weight: 32.36 g | Level: VERY_LOW
Weight: 20.75 g | Level: VERY_LOW
Weight: 28.04 g | Level: VERY_LOW
Weight: 23.30 g | Level: VERY_LOW
Weight: 26.41 g | Level: VERY_LOW
Weight: 27.81 g | Level: VERY_LOW
Weight: 21.35 g | Level: VERY_LOW
Weight: 21.71 g | Level: VERY_LOW
Weight: 22.64 g | Level: VERY_LOW
Weight: 18.13 g | Level: VERY_LOW
Weight: 23.32 g | Level: VERY_LOW
Weight: 18.95 g | Level: VERY_LOW
Weight: 23.90 g | Level: VERY_LOW
Weight: 25.73 g | Level: VERY_LOW
Weight: 27.57 g | Level: VERY_LOW
Weight: 28.41 g | Level: VERY_LOW
Weight: 25.68 g | Level: VERY_LOW
Weight: 26.65 g | Level: VERY_LOW
Weight: 25.40 g | Level: VERY_LOW
Weight: 27.34 g | Level: VERY_LOW
Weight: 23.92 g | Level: VERY_LOW
Weight: 22.08 g | Level: VERY_LOW
Weight: 27.72 g | Level: VERY_LOW
Weight: 29.91 g | Level: VERY_LOW
Weight: 24.14 g | Level: VERY_LOW
Weight: 25.55 g | Level: VERY_LOW
Weight: 17.14 g | Level: VERY_LOW
Weight: 29.27 g | Level: VERY_LOW
Weight: 25.94 g | Level: VERY_LOW
Weight: 19.33 g | Level: VERY_LOW
Weight: 26.48 g | Level: VERY_LOW
Weight: 24.40 g | Level: VERY_LOW
Weight: 27.29 g | Level: VERY_LOW
Weight: 24.16 g | Level: VERY_LOW
Weight: 24.27 g | Level: VERY_LOW
Weight: 18.54 g | Level: VERY_LOW
Weight: 23.54 g | Level: VERY_LOW
Weight: 21.16 g | Level: VERY_LOW
Weight: 23.79 g | Level: VERY_LOW
Weight: 21.52 g | Level: VERY_LOW
Weight: 22.64 g | Level: VERY_LOW
Weight: 19.74 g | Level: VERY_LOW
Weight: 24.05 g | Level: VERY_LOW
Weight: 23.58 g | Level: VERY_LOW
Weight: 24.65 g | Level: VERY_LOW
Weight: 20.64 g | Level: VERY_LOW
Weight: 22.59 g | Level: VERY_LOW
Weight: 24.55 g | Level: VERY_LOW
Weight: 18.99 g | Level: VERY_LOW
Weight: 25.49 g | Level: VERY_LOW
Weight: 17.36 g | Level: VERY_LOW
Weight: 26.11 g | Level: VERY_LOW
Weight: 29.24 g | Level: VERY_LOW
Weight: 24.80 g | Level: VERY_LOW
Weight: 27.18 g | Level: VERY_LOW
Weight: 29.14 g | Level: VERY_LOW
Weight: 20.53 g | Level: VERY_LOW
Weight: 29.95 g | Level: VERY_LOW
Weight: 17.81 g | Level: VERY_LOW
Weight: 22.98 g | Level: VERY_LOW
Weight: 31.05 g | Level: VERY_LOW
Weight: 31.07 g | Level: VERY_LOW
Weight: 33.66 g | Level: VERY_LOW
Weight: 23.69 g | Level: VERY_LOW
Weight: 27.76 g | Level: VERY_LOW
Weight: 22.27 g | Level: VERY_LOW
Weight: 32.38 g | Level: VERY_LOW
Weight: 26.05 g | Level: VERY_LOW
Weight: 20.43 g | Level: VERY_LOW
Weight: 22.81 g | Level: VERY_LOW
Weight: 25.55 g | Level: VERY_LOW
Weight: 26.09 g | Level: VERY_LOW
Weight: 25.19 g | Level: VERY_LOW
Weight: 25.81 g | Level: VERY_LOW
Weight: 28.04 g | Level: VERY_LOW
Weight: 24.85 g | Level: VERY_LOW
Weight: 18.88 g | Level: VERY_LOW
Weight: 23.24 g | Level: VERY_LOW
Weight: 24.74 g | Level: VERY_LOW
Weight: 20.23 g | Level: VERY_LOW
Weight: 18.84 g | Level: VERY_LOW
Weight: 24.50 g | Level: VERY_LOW
Weight: 18.56 g | Level: VERY_LOW
Weight: 21.84 g | Level: VERY_LOW
Weight: 25.68 g | Level: VERY_LOW
Weight: 29.91 g | Level: VERY_LOW
Weight: 28.21 g | Level: VERY_LOW
Weight: 31.63 g | Level: VERY_LOW
Weight: 22.36 g | Level: VERY_LOW
Weight: 25.21 g | Level: VERY_LOW
Weight: 27.79 g | Level: VERY_LOW
Weight: 26.82 g | Level: VERY_LOW
Weight: 24.29 g | Level: VERY_LOW
Weight: 23.82 g | Level: VERY_LOW
Weight: 22.61 g | Level: VERY_LOW
Weight: 27.68 g | Level: VERY_LOW
Weight: 19.61 g | Level: VERY_LOW
Weight: 30.27 g | Level: VERY_LOW
Weight: 15.53 g | Level: VERY_LOW
Weight: 27.06 g | Level: VERY_LOW
Weight: 20.55 g | Level: VERY_LOW
Weight: 23.58 g | Level: VERY_LOW
Weight: 24.18 g | Level: VERY_LOW
Weight: 23.56 g | Level: VERY_LOW
Weight: 22.96 g | Level: VERY_LOW
Weight: 22.76 g | Level: VERY_LOW
Weight: 21.03 g | Level: VERY_LOW
Weight: 20.86 g | Level: VERY_LOW
Weight: 19.91 g | Level: VERY_LOW
Weight: 25.13 g | Level: VERY_LOW
Weight: 15.43 g | Level: VERY_LOW
Weight: 22.92 g | Level: VERY_LOW
Weight: 19.16 g | Level: VERY_LOW
Weight: 24.95 g | Level: VERY_LOW
Weight: 26.86 g | Level: VERY_LOW
Weight: 22.55 g | Level: VERY_LOW
Weight: 24.37 g | Level: VERY_LOW
Weight: 21.16 g | Level: VERY_LOW
Weight: 28.52 g | Level: VERY_LOW
Weight: 22.21 g | Level: VERY_LOW
Weight: 26.93 g | Level: VERY_LOW
Weight: 22.76 g | Level: VERY_LOW
Weight: 26.97 g | Level: VERY_LOW
Weight: 23.67 g | Level: VERY_LOW
Weight: 22.72 g | Level: VERY_LOW
Weight: 20.13 g | Level: VERY_LOW
Weight: 21.78 g | Level: VERY_LOW
