
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 18.58 g | Level: VERY_LOW
Weight: 24.85 g | Level: VERY_LOW
Weight: 22.19 g | Level: VERY_LOW
Weight: 18.04 g | Level: VERY_LOW
Weight: 24.16 g | Level: VERY_LOW
Weight: 17.49 g | Level: VERY_LOW
Weight: 24.12 g | Level: VERY_LOW
Weight: 20.79 g | Level: VERY_LOW
Weight: 21.22 g | Level: VERY_LOW
Weight: 28.13 g | Level: VERY_LOW
Weight: 22.55 g | Level: VERY_LOW
Weight: 21.22 g | Level: VERY_LOW
Weight: 20.79 g | Level: VERY_LOW
Weight: 16.31 g | Level: VERY_LOW
Weight: 14.31 g | Level: VERY_LOW
Weight: 24.46 g | Level: VERY_LOW
Weight: 15.94 g | Level: VERY_LOW
Weight: 15.94 g | Level: VERY_LOW
Weight: 22.27 g | Level: VERY_LOW
Weight: 19.48 g | Level: VERY_LOW
Weight: 17.51 g | Level: VERY_LOW
Weight: 22.98 g | Level: VERY_LOW
Weight: 25.10 g | Level: VERY_LOW
Weight: 24.20 g | Level: VERY_LOW
Weight: 13.24 g | Level: VERY_LOW
Weight: 16.24 g | Level: VERY_LOW
Weight: 24.31 g | Level: VERY_LOW
Weight: 23.97 g | Level: VERY_LOW
Weight: 21.89 g | Level: VERY_LOW
Weight: 21.22 g | Level: VERY_LOW
Weight: 19.03 g | Level: VERY_LOW
Weight: 21.39 g | Level: VERY_LOW
Weight: 30.68 g | Level: VERY_LOW
Weight: 21.80 g | Level: VERY_LOW
Weight: 18.92 g | Level: VERY_LOW
Weight: 21.69 g | Level: VERY_LOW
Weight: 24.57 g | Level: VERY_LOW
Weight: 23.54 g | Level: VERY_LOW
Weight: 29.29 g | Level: VERY_LOW
Weight: 22.53 g | Level: VERY_LOW
Weight: 20.13 g | Level: VERY_LOW
Weight: 26.56 g | Level: VERY_LOW
Weight: 19.59 g | Level: VERY_LOW
Weight: 27.98 g | Level: VERY_LOW
Weight: 22.57 g | Level: VERY_LOW
Weight: 16.50 g | Level: VERY_LOW
Weight: 13.56 g | Level: VERY_LOW
Weight: 13.73 g | Level: VERY_LOW
Weight: 21.65 g | Level: VERY_LOW
Weight: 18.65 g | Level: VERY_LOW
Weight: 23.13 g | Level: VERY_LOW
Weight: 15.32 g | Level: VERY_LOW
Weight: 28.39 g | Level: VERY_LOW
Weight: 27.59 g | Level: VERY_LOW
Weight: 17.08 g | Level: VERY_LOW
Weight: 18.50 g | Level: VERY_LOW
Weight: 21.69 g | Level: VERY_LOW
Weight: 16.35 g | Level: VERY_LOW
Weight: 20.00 g | Level: VERY_LOW
Weight: 18.75 g | Level: VERY_LOW
Weight: 17.51 g | Level: VERY_LOW
Weight: 20.36 g | Level: VERY_LOW
Weight: 15.86 g | Level: VERY_LOW
Weight: 25.90 g | Level: VERY_LOW
Weight: 24.27 g | Level: VERY_LOW
Weight: 15.98 g | Level: VERY_LOW
Weight: 13.32 g | Level: VERY_LOW
Weight: 13.35 g | Level: VERY_LOW
Weight: 20.98 g | Level: VERY_LOW
Weight: 18.35 g | Level: VERY_LOW
Weight: 13.99 g | Level: VERY_LOW
Weight: 17.08 g | Level: VERY_LOW
Weight: 27.68 g | Level: VERY_LOW
Weight: 25.06 g | Level: VERY_LOW
Weight: 18.95 g | Level: VERY_LOW
Weight: 15.02 g | Level: VERY_LOW
Weight: 24.50 g | Level: VERY_LOW
Weight: 13.86 g | Level: VERY_LOW
Weight: 17.16 g | Level: VERY_LOW
Weight: 16.61 g | Level: VERY_LOW
Weight: 27.14 g | Level: VERY_LOW
Weight: 16.89 g | Level: VERY_LOW
Weight: 18.54 g | Level: VERY_LOW
Weight: 18.24 g | Level: VERY_LOW
Weight: 21.48 g | Level: VERY_LOW
Weight: 24.55 g | Level: VERY_LOW
Weight: 23.88 g | Level: VERY_LOW
Weight: 21.41 g | Level: VERY_LOW
Weight: 13.39 g | Level: VERY_LOW
Weight: 22.85 g | Level: VERY_LOW
Weight: 17.85 g | Level: VERY_LOW
Weight: 13.32 g | Level: VERY_LOW
Weight: 21.52 g | Level: VERY_LOW
Weight: 19.89 g | Level: VERY_LOW
Weight: 25.77 g | Level: VERY_LOW
Weight: 17.74 g | Level: VERY_LOW
Weight: 26.31 g | Level: VERY_LOW
Weight: 14.72 g | Level: VERY_LOW
Weight: 23.64 g | Level: VERY_LOW
Weight: 15.11 g | Level: VERY_LOW
Weight: 22.59 g | Level: VERY_LOW
Weight: 10.21 g | Level: VERY_LOW
Weight: 21.58 g | Level: VERY_LOW
Weight: 25.21 g | Level: VERY_LOW
Weight: 22.16 g | Level: VERY_LOW
Weight: 18.75 g | Level: VERY_LOW
Weight: 25.60 g | Level: VERY_LOW
Weight: 13.09 g | Level: VERY_LOW
Weight: 14.68 g | Level: VERY_LOW
Weight: 24.91 g | Level: VERY_LOW
Weight: 28.26 g | Level: VERY_LOW
Weight: 16.95 g | Level: VERY_LOW
Weight: 19.40 g | Level: VERY_LOW
Weight: 22.46 g | Level: VERY_LOW
Weight: 28.64 g | Level: VERY_LOW
Weight: 17.66 g | Level: VERY_LOW
Weight: 23.19 g | Level: VERY_LOW
Weight: 24.74 g | Level: VERY_LOW
Weight: 22.57 g | Level: VERY_LOW
Weight: 19.59 g | Level: VERY_LOW
Weight: 13.71 g | Level: VERY_LOW
Weight: 14.55 g | Level: VERY_LOW
Weight: 26.28 g | Level: VERY_LOW
