
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 8.71 g | Level: VERY_LOW
Weight: 4.44 g | Level: VERY_LOW
Weight: 5.86 g | Level: VERY_LOW
Weight: 5.94 g | Level: VERY_LOW
Weight: 6.16 g | Level: VERY_LOW
Weight: 4.06 g | Level: VERY_LOW
Weight: 5.90 g | Level: VERY_LOW
Weight: 5.88 g | Level: VERY_LOW
Weight: 9.68 g | Level: VERY_LOW
Weight: 5.04 g | Level: VERY_LOW
Weight: 5.28 g | Level: VERY_LOW
Weight: -0.47 g | Level: VERY_LOW
Weight: 3.22 g | Level: VERY_LOW
Weight: 2.12 g | Level: VERY_LOW
Weight: 0.79 g | Level: VERY_LOW

Diagnostic capture started.
DATA,sequence,timestamp_ms,raw_counts,tare_offset,net_counts,weight_grams
DATA,91,15423,-167320,-166704,-616,-13.216994
DATA,92,15507,-166682,-166704,22,0.472035
DATA,93,15591,-166527,-166704,177,3.797740
DATA,94,15675,-167241,-166704,-537,-11.521957
DATA,95,15759,-167862,-166704,-1158,-24.846231
DATA,96,15844,-167706,-166704,-1002,-21.499071
DATA,97,15928,-167348,-166704,-644,-13.817767
DATA,98,16012,-166484,-166704,220,4.720355
DATA,99,16096,-166347,-166704,357,7.659848
DATA,100,16180,-167132,-166704,-428,-9.183236
DATA,101,16264,-168050,-166704,-1346,-28.879987
DATA,102,16348,-167679,-166704,-975,-20.919754
DATA,103,16432,-167018,-166704,-314,-6.737234
DATA,104,16516,-166515,-166704,189,4.055214
DATA,105,16600,-166414,-166704,290,6.222286
DATA,106,16684,-166931,-166704,-227,-4.870548
DATA,107,16769,-167623,-166704,-919,-19.718208
DATA,108,16853,-167821,-166704,-1117,-23.966527
DATA,109,16937,-167087,-166704,-383,-8.217709
DATA,110,17021,-166567,-166704,137,2.939494
DATA,111,17105,-166419,-166704,285,6.115005
DATA,112,17189,-166888,-166704,-184,-3.947933
DATA,113,17273,-167806,-166704,-1102,-23.644685
DATA,114,17357,-167600,-166704,-896,-19.224718
DATA,115,17441,-167266,-166704,-562,-12.058362
DATA,116,17525,-166545,-166704,159,3.411529
DATA,117,17610,-166394,-166704,310,6.651409
DATA,118,17694,-167108,-166704,-404,-8.668289
DATA,119,17778,-167907,-166704,-1203,-25.811758
DATA,120,17862,-167946,-166704,-1242,-26.648548
DATA,121,17946,-167341,-166704,-637,-13.667573
DATA,122,18030,-166534,-166704,170,3.647547
DATA,123,18114,-166487,-166704,217,4.655986
DATA,124,18198,-167134,-166704,-430,-9.226148
DATA,125,18282,-167596,-166704,-892,-19.138893
DATA,126,18366,-167321,-166704,-617,-13.238450
DATA,127,18450,-167054,-166704,-350,-7.509655
DATA,128,18535,-166497,-166704,207,4.441425
DATA,129,18619,-166443,-166704,261,5.600057
DATA,130,18703,-167196,-166704,-492,-10.556430
DATA,131,18787,-167932,-166704,-1228,-26.348161
DATA,132,18871,-167884,-166704,-1180,-25.318265
DATA,133,18955,-167480,-166704,-776,-16.649978
DATA,134,19039,-166598,-166704,106,2.274353
DATA,135,19123,-166519,-166704,185,3.969389
DATA,136,19207,-166895,-166704,-191,-4.098126
DATA,137,19291,-167725,-166704,-1021,-21.906736
DATA,138,19376,-167746,-166704,-1042,-22.357316
DATA,139,19460,-167257,-166704,-553,-11.865256
DATA,140,19544,-166447,-166704,257,5.514233
DATA,141,19628,-166375,-166704,329,7.059076
DATA,142,19712,-166792,-166704,-88,-1.888142
DATA,143,19796,-167802,-166704,-1098,-23.558860
DATA,144,19880,-168251,-166704,-1547,-33.192676
DATA,145,19964,-167539,-166704,-835,-17.915891
DATA,146,20048,-166638,-166704,66,1.416106
DATA,147,20132,-166476,-166704,228,4.892004
DATA,148,20216,-166740,-166704,-36,-0.772422
DATA,149,20301,-167025,-166704,-321,-6.887427
DATA,150,20385,-167074,-166704,-370,-7.938778
DATA,151,20469,-166818,-166704,-114,-2.446002
DATA,152,20553,-166393,-166704,311,6.672865
DATA,153,20637,-166401,-166704,303,6.501216
DATA,154,20721,-166969,-166704,-265,-5.685882
DATA,155,20805,-168039,-166704,-1335,-28.643970
DATA,156,20889,-168007,-166704,-1303,-27.957374
DATA,157,20973,-167420,-166704,-716,-15.362609
DATA,158,21057,-166509,-166704,195,4.183951
DATA,159,21141,-166442,-166704,262,5.621513
DATA,160,21226,-167141,-166704,-437,-9.376341
DATA,161,21310,-167752,-166704,-1048,-22.486053
DATA,162,21394,-167486,-166704,-782,-16.778715
DATA,163,21478,-167008,-166704,-304,-6.522672
DATA,164,21562,-166501,-166704,203,4.355600
DATA,165,21646,-166509,-166704,195,4.183951
DATA,166,21730,-167298,-166704,-594,-12.744958
DATA,167,21814,-167869,-166704,-1165,-24.996423
DATA,168,21898,-168008,-166704,-1304,-27.978830
DATA,169,21982,-167402,-166704,-698,-14.976399
DATA,170,22067,-166500,-166704,204,4.377056
DATA,171,22151,-166437,-166704,267,5.728794
DATA,172,22235,-167026,-166704,-322,-6.908883
DATA,173,22319,-168000,-166704,-1296,-27.807180
DATA,174,22403,-168132,-166704,-1428,-30.639392
DATA,175,22487,-167149,-166704,-445,-9.547990
DATA,176,22571,-166379,-166704,325,6.973251
DATA,177,22655,-166512,-166704,192,4.119582
DATA,178,22739,-167305,-166704,-601,-12.895152
DATA,179,22823,-168076,-166704,-1372,-29.437849
DATA,180,22907,-168054,-166704,-1350,-28.965812
DATA,181,22992,-167409,-166704,-705,-15.126592
DATA,182,23076,-166630,-166704,74,1.587756
DATA,183,23160,-166487,-166704,217,4.655986
DATA,184,23244,-167261,-166704,-557,-11.951081
DATA,185,23328,-168197,-166704,-1493,-32.034042
DATA,186,23412,-168218,-166704,-1514,-32.484622
DATA,187,23496,-167444,-166704,-740,-15.877557
DATA,188,23580,-166506,-166704,198,4.248319
DATA,189,23664,-166438,-166704,266,5.707338
DATA,190,23748,-167167,-166704,-463,-9.934202
DATA,191,23832,-167814,-166704,-1110,-23.816335
DATA,192,23917,-167928,-166704,-1224,-26.262336
DATA,193,24001,-167469,-166704,-765,-16.413961
DATA,194,24085,-166521,-166704,183,3.926477
DATA,195,24169,-166364,-166704,340,7.295094
DATA,196,24253,-167223,-166704,-519,-11.135746
DATA,197,24337,-168268,-166704,-1564,-33.557430
DATA,198,24421,-168145,-166704,-1441,-30.918323
DATA,199,24505,-167322,-166704,-618,-13.259906
DATA,200,24589,-166536,-166704,168,3.604635
DATA,201,24673,-166492,-166704,212,4.548706
DATA,202,24757,-167064,-166704,-360,-7.724217
DATA,203,24842,-167643,-166704,-939,-20.147333
DATA,204,24926,-167738,-166704,-1034,-22.185667
DATA,205,25010,-167215,-166704,-511,-10.964097
DATA,206,25094,-166583,-166704,121,2.596195
DATA,207,25178,-166513,-166704,191,4.098126
DATA,208,25262,-167097,-166704,-393,-8.432271
DATA,209,25346,-167763,-166704,-1059,-22.722070
DATA,210,25430,-167897,-166704,-1193,-25.597196
DATA,211,25514,-167192,-166704,-488,-10.470605
DATA,212,25598,-166486,-166704,218,4.677443
DATA,213,25683,-166424,-166704,280,6.007724
DATA,214,25767,-167283,-166704,-579,-12.423116
DATA,215,25851,-168039,-166704,-1335,-28.643970
DATA,216,25935,-167903,-166704,-1199,-25.725933
DATA,217,26019,-166991,-166704,-287,-6.157917
DATA,218,26103,-166512,-166704,192,4.119582
DATA,219,26187,-166630,-166704,74,1.587756
DATA,220,26271,-167173,-166704,-469,-10.062938
DATA,221,26355,-168079,-166704,-1375,-29.502216
DATA,222,26439,-168193,-166704,-1489,-31.948219
DATA,223,26523,-167369,-166704,-665,-14.268345
DATA,224,26608,-166460,-166704,244,5.235302
DATA,225,26692,-166336,-166704,368,7.895866
DATA,226,26776,-167190,-166704,-486,-10.427693
DATA,227,26860,-168108,-166704,-1404,-30.124444
DATA,228,26944,-167864,-166704,-1160,-24.889142
DATA,229,27028,-167275,-166704,-571,-12.251466
DATA,230,27112,-166557,-166704,147,3.154055
DATA,231,27196,-166473,-166704,231,4.956372
DATA,232,27280,-167319,-166704,-615,-13.195538
DATA,233,27364,-168164,-166704,-1460,-31.325990
DATA,234,27448,-168090,-166704,-1386,-29.738235
DATA,235,27533,-167362,-166704,-658,-14.118152
DATA,236,27617,-166436,-166704,268,5.750250
DATA,237,27701,-166425,-166704,279,5.986268
DATA,238,27785,-166912,-166704,-208,-4.462881
DATA,239,27869,-167883,-166704,-1179,-25.296810
DATA,240,27953,-168059,-166704,-1355,-29.073093
DATA,241,28037,-167280,-166704,-576,-12.358747
DATA,242,28121,-166520,-166704,184,3.947933
DATA,243,28205,-166528,-166704,176,3.776284
DATA,244,28289,-167001,-166704,-297,-6.372479
DATA,245,28373,-167927,-166704,-1223,-26.240880
DATA,246,28458,-168222,-166704,-1518,-32.570446
DATA,247,28542,-167425,-166704,-721,-15.469890
DATA,248,28626,-166498,-166704,206,4.419969
DATA,249,28710,-166446,-166704,258,5.535689
DATA,250,28794,-167368,-166704,-664,-14.246890
DATA,251,28878,-167986,-166704,-1282,-27.506793
DATA,252,28962,-167807,-166704,-1103,-23.666141
DATA,253,29046,-167348,-166704,-644,-13.817767
DATA,254,29130,-166495,-166704,209,4.484337
DATA,255,29214,-166452,-166704,252,5.406952
DATA,256,29298,-167250,-166704,-546,-11.715063
DATA,257,29383,-168081,-166704,-1377,-29.545129
DATA,258,29467,-168084,-166704,-1380,-29.609497
DATA,259,29551,-167377,-166704,-673,-14.439994
DATA,260,29635,-166548,-166704,156,3.347161
DATA,261,29719,-166407,-166704,297,6.372479
DATA,262,29803,-167146,-166704,-442,-9.483622
DATA,263,29887,-168155,-166704,-1451,-31.132884
DATA,264,29971,-168259,-166704,-1555,-33.364326
DATA,265,30055,-167497,-166704,-793,-17.014732
DATA,266,30139,-166600,-166704,104,2.231441
DATA,267,30223,-166526,-166704,178,3.819196
DATA,268,30308,-167077,-166704,-373,-8.003148
DATA,269,30392,-167861,-166704,-1157,-24.824775
DATA,270,30476,-168201,-166704,-1497,-32.119869
DATA,271,30560,-167369,-166704,-665,-14.268345
DATA,272,30644,-166511,-166704,193,4.141038
DATA,273,30728,-166519,-166704,185,3.969389
DATA,274,30812,-167213,-166704,-509,-10.921185
DATA,275,30896,-168040,-166704,-1336,-28.665426
DATA,276,30980,-168157,-166704,-1453,-31.175798
DATA,277,31064,-167407,-166704,-703,-15.083680
DATA,278,31148,-166615,-166704,89,1.909598
DATA,279,31233,-166514,-166704,190,4.076670
DATA,280,31317,-167136,-166704,-432,-9.269061
DATA,281,31401,-168086,-166704,-1382,-29.652410
DATA,282,31485,-168199,-166704,-1495,-32.076957
DATA,283,31569,-167368,-166704,-664,-14.246890
DATA,284,31653,-166470,-166704,234,5.020741
DATA,285,31737,-166459,-166704,245,5.256759
DATA,286,31821,-166716,-166704,-12,-0.257474
DATA,287,31905,-167854,-166704,-1150,-24.674581
DATA,288,31989,-167894,-166704,-1190,-25.532827
DATA,289,32073,-167217,-166704,-513,-11.007010
DATA,290,32158,-166454,-166704,250,5.364039
DATA,291,32242,-166510,-166704,194,4.162495
DATA,292,32326,-167375,-166704,-671,-14.397083
DATA,293,32410,-168160,-166704,-1456,-31.240165
DATA,294,32494,-168152,-166704,-1448,-31.068517
DATA,295,32578,-167228,-166704,-524,-11.243027
DATA,296,32662,-166432,-166704,272,5.836075
DATA,297,32746,-166399,-166704,305,6.544128
DATA,298,32830,-167144,-166704,-440,-9.440710
DATA,299,32914,-168067,-166704,-1363,-29.244743
DATA,300,32998,-167928,-166704,-1224,-26.262336
DATA,301,33083,-167228,-166704,-524,-11.243027
DATA,302,33167,-166536,-166704,168,3.604635
DATA,303,33251,-166490,-166704,214,4.591618
DATA,304,33335,-167248,-166704,-544,-11.672150
DATA,305,33419,-168129,-166704,-1425,-30.575025
DATA,306,33503,-168093,-166704,-1389,-29.802602
DATA,307,33587,-167204,-166704,-500,-10.728079
DATA,308,33671,-166414,-166704,290,6.222286
DATA,309,33755,-166566,-166704,138,2.960950
DATA,310,33839,-167289,-166704,-585,-12.551853
DATA,311,33923,-167736,-166704,-1032,-22.142755
DATA,312,34008,-167555,-166704,-851,-18.259189
DATA,313,34092,-167276,-166704,-572,-12.272923
DATA,314,34176,-166615,-166704,89,1.909598
DATA,315,34260,-166600,-166704,104,2.231441
DATA,316,34344,-167268,-166704,-564,-12.101274
DATA,317,34428,-167776,-166704,-1072,-23.001001
DATA,318,34512,-168009,-166704,-1305,-28.000286
DATA,319,34596,-167372,-166704,-668,-14.332714
DATA,320,34680,-166416,-166704,288,6.179373
DATA,321,34764,-166329,-166704,375,8.046060
DATA,322,34848,-167050,-166704,-346,-7.423830
DATA,323,34933,-167834,-166704,-1130,-24.245458
DATA,324,35017,-167864,-166704,-1160,-24.889142
DATA,325,35101,-167013,-166704,-309,-6.629953
DATA,326,35185,-166360,-166704,344,7.380918
DATA,327,35269,-166452,-166704,252,5.406952
DATA,328,35353,-167047,-166704,-343,-7.359462
DATA,329,35437,-167414,-166704,-710,-15.233873
DATA,330,35521,-167794,-166704,-1090,-23.387212
DATA,331,35605,-167273,-166704,-569,-12.208555
DATA,332,35689,-166528,-166704,176,3.776284
DATA,333,35773,-166515,-166704,189,4.055214
DATA,334,35858,-167108,-166704,-404,-8.668289
DATA,335,35942,-168017,-166704,-1313,-28.171936
DATA,336,36026,-168154,-166704,-1450,-31.111429
DATA,337,36110,-167497,-166704,-793,-17.014732
DATA,338,36194,-166629,-166704,75,1.609212
DATA,339,36278,-166605,-166704,99,2.124160
DATA,340,36362,-166962,-166704,-258,-5.535689
DATA,341,36446,-167914,-166704,-1210,-25.961950
