
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 24.65 g | Level: VERY_LOW
Weight: 22.98 g | Level: VERY_LOW
Weight: 26.07 g | Level: VERY_LOW
Weight: 18.67 g | Level: VERY_LOW
Weight: 22.27 g | Level: VERY_LOW
Weight: 20.66 g | Level: VERY_LOW
Weight: 18.90 g | Level: VERY_LOW
Weight: 23.95 g | Level: VERY_LOW
Weight: 14.72 g | Level: VERY_LOW
Weight: 26.80 g | Level: VERY_LOW
Weight: 25.98 g | Level: VERY_LOW
Weight: 21.84 g | Level: VERY_LOW
Weight: 24.63 g | Level: VERY_LOW
Weight: 19.72 g | Level: VERY_LOW
Weight: 22.23 g | Level: VERY_LOW
Weight: 21.54 g | Level: VERY_LOW
Weight: 22.92 g | Level: VERY_LOW
Weight: 19.61 g | Level: VERY_LOW
Weight: 25.45 g | Level: VERY_LOW
Weight: 18.32 g | Level: VERY_LOW
Weight: 22.81 g | Level: VERY_LOW
Weight: 17.47 g | Level: VERY_LOW
Weight: 16.74 g | Level: VERY_LOW
Weight: 24.59 g | Level: VERY_LOW
Weight: 15.60 g | Level: VERY_LOW
Weight: 24.40 g | Level: VERY_LOW
Weight: 20.21 g | Level: VERY_LOW
Weight: 16.37 g | Level: VERY_LOW
Weight: 18.19 g | Level: VERY_LOW
Weight: 24.50 g | Level: VERY_LOW
Weight: 21.54 g | Level: VERY_LOW
Weight: 19.57 g | Level: VERY_LOW
Weight: 21.86 g | Level: VERY_LOW
Weight: 17.32 g | Level: VERY_LOW
Weight: 20.75 g | Level: VERY_LOW
Weight: 17.23 g | Level: VERY_LOW
Weight: 28.69 g | Level: VERY_LOW
Weight: 23.49 g | Level: VERY_LOW
Weight: 24.65 g | Level: VERY_LOW
Weight: 22.04 g | Level: VERY_LOW
Weight: 20.88 g | Level: VERY_LOW
Weight: 19.12 g | Level: VERY_LOW
Weight: 20.04 g | Level: VERY_LOW
Weight: 15.26 g | Level: VERY_LOW
Weight: 22.79 g | Level: VERY_LOW
Weight: 19.12 g | Level: VERY_LOW
Weight: 25.19 g | Level: VERY_LOW
Weight: 22.87 g | Level: VERY_LOW
Weight: 16.63 g | Level: VERY_LOW
Weight: 20.98 g | Level: VERY_LOW
Weight: 24.80 g | Level: VERY_LOW
Weight: 22.94 g | Level: VERY_LOW
Weight: 27.55 g | Level: VERY_LOW
Weight: 16.11 g | Level: VERY_LOW
Weight: 18.09 g | Level: VERY_LOW
Weight: 19.80 g | Level: VERY_LOW
Weight: 17.06 g | Level: VERY_LOW
Weight: 23.02 g | Level: VERY_LOW
Weight: 20.86 g | Level: VERY_LOW
Weight: 23.62 g | Level: VERY_LOW
Weight: 17.77 g | Level: VERY_LOW
Weight: 24.67 g | Level: VERY_LOW
Weight: 24.87 g | Level: VERY_LOW
Weight: 14.95 g | Level: VERY_LOW
Weight: 26.63 g | Level: VERY_LOW
Weight: 25.04 g | Level: VERY_LOW
Weight: 24.14 g | Level: VERY_LOW
Weight: 22.38 g | Level: VERY_LOW
Weight: 19.70 g | Level: VERY_LOW
Weight: 19.95 g | Level: VERY_LOW
Weight: 25.08 g | Level: VERY_LOW
Weight: 20.13 g | Level: VERY_LOW
Weight: 17.79 g | Level: VERY_LOW
Weight: 23.75 g | Level: VERY_LOW
Weight: 23.02 g | Level: VERY_LOW
Weight: 15.28 g | Level: VERY_LOW
Weight: 14.50 g | Level: VERY_LOW
Weight: 21.69 g | Level: VERY_LOW
Weight: 20.55 g | Level: VERY_LOW
