
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 15.92 g | Level: VERY_LOW
Weight: 18.52 g | Level: VERY_LOW
Weight: 20.40 g | Level: VERY_LOW
Weight: 17.19 g | Level: VERY_LOW
Weight: 13.35 g | Level: VERY_LOW
Weight: 23.19 g | Level: VERY_LOW
Weight: 23.92 g | Level: VERY_LOW
Weight: 17.92 g | Level: VERY_LOW
Weight: 14.14 g | Level: VERY_LOW
Weight: 17.62 g | Level: VERY_LOW
Weight: 18.95 g | Level: VERY_LOW
Weight: 24.31 g | Level: VERY_LOW
Weight: 18.35 g | Level: VERY_LOW
Weight: 17.14 g | Level: VERY_LOW
Weight: 26.00 g | Level: VERY_LOW
Weight: 17.77 g | Level: VERY_LOW
Weight: 19.53 g | Level: VERY_LOW
Weight: 24.10 g | Level: VERY_LOW
Weight: 12.27 g | Level: VERY_LOW
Weight: 18.73 g | Level: VERY_LOW
Weight: 17.53 g | Level: VERY_LOW
Weight: 25.62 g | Level: VERY_LOW
Weight: 17.40 g | Level: VERY_LOW
Weight: 15.00 g | Level: VERY_LOW
Weight: 19.35 g | Level: VERY_LOW
Weight: 21.82 g | Level: VERY_LOW
Weight: 14.74 g | Level: VERY_LOW
Weight: 28.49 g | Level: VERY_LOW
Weight: 16.59 g | Level: VERY_LOW
Weight: 16.80 g | Level: VERY_LOW
Weight: 12.74 g | Level: VERY_LOW
Weight: 17.79 g | Level: VERY_LOW
Weight: 8.32 g | Level: VERY_LOW
Weight: 20.02 g | Level: VERY_LOW
Weight: 15.38 g | Level: VERY_LOW
Weight: 13.54 g | Level: VERY_LOW
Weight: 15.32 g | Level: VERY_LOW
Weight: 7.55 g | Level: VERY_LOW
Weight: 16.44 g | Level: VERY_LOW
Weight: 19.44 g | Level: VERY_LOW
Weight: 14.29 g | Level: VERY_LOW
Weight: 15.11 g | Level: VERY_LOW
Weight: 23.13 g | Level: VERY_LOW
Weight: 13.93 g | Level: VERY_LOW
Weight: 17.94 g | Level: VERY_LOW
Weight: 15.79 g | Level: VERY_LOW
Weight: 14.03 g | Level: VERY_LOW
Weight: 14.50 g | Level: VERY_LOW
Weight: 17.62 g | Level: VERY_LOW
Weight: 22.36 g | Level: VERY_LOW
Weight: 21.48 g | Level: VERY_LOW
Weight: 14.46 g | Level: VERY_LOW
Weight: 24.95 g | Level: VERY_LOW
Weight: 16.78 g | Level: VERY_LOW
Weight: 18.39 g | Level: VERY_LOW
Weight: 25.66 g | Level: VERY_LOW
Weight: 16.41 g | Level: VERY_LOW
Weight: 18.26 g | Level: VERY_LOW
Weight: 16.78 g | Level: VERY_LOW
Weight: 13.71 g | Level: VERY_LOW
Weight: 21.89 g | Level: VERY_LOW
Weight: 20.49 g | Level: VERY_LOW
Weight: 17.04 g | Level: VERY_LOW
Weight: 14.80 g | Level: VERY_LOW
Weight: 16.46 g | Level: VERY_LOW
Weight: 22.38 g | Level: VERY_LOW
Weight: 23.02 g | Level: VERY_LOW
Weight: 14.59 g | Level: VERY_LOW
Weight: 17.96 g | Level: VERY_LOW
Weight: 20.94 g | Level: VERY_LOW
Weight: 14.83 g | Level: VERY_LOW
Weight: 21.35 g | Level: VERY_LOW
Weight: 13.45 g | Level: VERY_LOW
Weight: 19.20 g | Level: VERY_LOW
Weight: 12.79 g | Level: VERY_LOW
Weight: 16.52 g | Level: VERY_LOW
Weight: 17.57 g | Level: VERY_LOW
